# 破窗起点(migration commit)。终点见 scripts/wait-for-deploy.sh 打印的 success 时刻。
# applied_at	migration	head_sha_at_apply
2026-08-19T13:26:38+0800	2026-08-19-task1c-a-ownership-into-employee-space.sql	947f695
2026-08-19T13:44:18+0800	2026-08-19-task1c-a-fu1-revoke-the-inner-participant-writer.sql	947f695
2026-08-19T13:50:51+0800	2026-08-19-task1c-a-fu2-policies-are-scoped-to-authenticated.sql	947f695
2026-08-19T15:34:12+0800	2026-08-19-task1c-c-a-person-who-left-stops-blocking-demotion.sql	14bb055
2026-08-19T15:43:12+0800	2026-08-19-task1c-c-revert-pending-a-decision-on-the-privacy-invariant.sql	14bb055
2026-08-19T16:13:38+0800	2026-08-19-fix-select-policy-must-be-evaluable-on-the-row-being-inserted.sql	2f471a6
2026-08-19T21:08:25+0800	2026-08-19-log1a-counterparty-type-and-logistics-master-data.sql	69e6e44
2026-08-20T07:47:07+0800	2026-08-20-log2a-container-layer-above-shipments.sql	e6216b8
2026-08-20T07:54:48+0800	2026-08-20-log2a-fu1-owner-rights-view-and-revoke-the-numberer.sql	e6216b8
2026-08-20T08:35:31+0800	2026-08-20-log2c-the-container-creation-door.sql	43f953d
2026-08-20T09:30:53+0800	2026-08-20-payfrt-record-payment-learns-freight.sql	6d78893
2026-08-20T10:04:33+0800	2026-08-20-log4a-export-freight-is-an-expense.sql	43b91e7
2026-08-20T10:05:47+0800	2026-08-20-log4a-fu1-6300-is-now-engine-dependent.sql	43b91e7
2026-08-20T13:23:42+0800	2026-08-20-log5a-logistics-alerts-are-arms.sql	992572c
2026-08-20T18:36:30+0800	2026-08-20-log5d-a-correction-must-win.sql	4dc76c7
2026-08-20T20:26:51+0800	2026-08-20-eqp1a-a-purchase-order-can-carry-a-machine.sql	31b3019
2026-08-21T01:18:10+0800	2026-08-21-eqp1a-tail-two-conventions-become-rules.sql	daee9fb
2026-08-21T02:08:55+0800	2026-08-21-eqp1bi-the-release-learns-its-currency.sql	4a352b6
2026-08-21T09:04:37+0800	2026-08-21-eqp1bii-an-equipment-line-is-expensed-once.sql	f78d2ac
2026-08-21T10:05:08+0800	2026-08-21-eqp1biii-reversing-a-capital-expense-undoes-its-cost.sql	3c8b845
2026-08-21T10:37:15+0800	2026-08-21-eqp1ca-how-an-asset-card-comes-into-existence.sql	1a321c5
2026-08-21T11:47:57+0800	2026-08-21-eqp1cb-a-release-states-its-own-date.sql	cfea8c6
2026-08-21T13:07:45+0800	2026-08-21-eqp2a-what-the-machine-did.sql	87cfeb5
2026-08-21T15:24:30+0800	2026-08-21-eqp2b-maintenance-and-repair-records.sql	2b4942f
2026-08-21T18:45:00+0800	2026-08-21-eqp2c-service-intervals-and-the-due-arm.sql	e6f023e
2026-08-21T18:52:53+0800	2026-08-21-eqp2c-fu-the-fixture-number-collided.sql	e6f023e
2026-08-21T23:20:40+0800	2026-08-21-proc1-material-kind-as-a-dictionary.sql	5a0723e
2026-08-22T00:58:48+0800	2026-08-22-proc2-intake-condition-axes.sql	e03e724
2026-08-22T02:10:55+0800	2026-08-22-proc2c-capture-at-creation-and-one-atomic-write.sql	ed56c9e
2026-08-22T21:47:11+0800	2026-08-22-proc3-what-may-be-fed.sql	854e0bd
2026-08-22T22:52:29+0800	2026-08-22-proc4-the-metal-list-becomes-a-dictionary.sql	70d055f
